trajectory,time,lon,lat
10,2025-09-07 14:10:00,135.0715,33.482704
10,2025-09-07 14:20:00,135.07503,33.480278
10,2025-09-07 14:30:00,135.0764,33.478645
10,2025-09-07 14:40:00,135.0768,33.48004
10,2025-09-07 14:50:00,135.07932,33.479176
10,2025-09-07 15:00:00,135.08318,33.476826
10,2025-09-07 15:10:00,135.08644,33.475822
10,2025-09-07 15:20:00,135.08784,33.47585
10,2025-09-07 15:30:00,135.08762,33.474655
10,2025-09-07 15:40:00,135.0882,33.47415
10,2025-09-07 15:50:00,135.08968,33.472355
10,2025-09-07 16:00:00,135.09073,33.471214
10,2025-09-07 16:10:00,135.09285,33.47011
10,2025-09-07 16:20:00,135.09444,33.468384
10,2025-09-07 16:30:00,135.09544,33.465977
11,2025-09-07 10:30:00,135.0,33.5
11,2025-09-07 10:40:00,135.00539,33.501713
11,2025-09-07 10:50:00,135.0079,33.50131
11,2025-09-07 11:00:00,135.01079,33.5006
11,2025-09-07 11:10:00,135.0154,33.501175
11,2025-09-07 11:20:00,135.0201,33.500683
11,2025-09-07 11:30:00,135.02211,33.498535
11,2025-09-07 11:40:00,135.02502,33.4974
11,2025-09-07 11:50:00,135.02766,33.496204
11,2025-09-07 12:00:00,135.03113,33.495148
11,2025-09-07 12:10:00,135.03546,33.49462
11,2025-09-07 12:20:00,135.03879,33.494965
11,2025-09-07 12:30:00,135.0415,33.494682
11,2025-09-07 12:40:00,135.04361,33.49265
11,2025-09-07 12:50:00,135.04672,33.490837
11,2025-09-07 13:00:00,135.0479,33.489388
11,2025-09-07 13:10:00,135.04874,33.487846
11,2025-09-07 13:20:00,135.05199,33.486244
11,2025-09-07 13:30:00,135.05663,33.485813
11,2025-09-07 13:40:00,135.06079,33.483818
11,2025-09-07 13:50:00,135.06166,33.482044
11,2025-09-07 14:00:00,135.06245,33.481007
11,2025-09-07 14:10:00,135.064,33.47941
11,2025-09-07 14:20:00,135.06497,33.47918
11,2025-09-07 14:30:00,135.06503,33.476635
11,2025-09-07 14:40:00,135.06583,33.474545
11,2025-09-07 14:50:00,135.06746,33.473858
11,2025-09-07 15:00:00,135.07147,33.473316
11,2025-09-07 15:10:00,135.07259,33.471817
11,2025-09-07 15:20:00,135.07333,33.469795
11,2025-09-07 15:30:00,135.07495,33.46769
11,2025-09-07 15:40:00,135.0749,33.464302
11,2025-09-07 15:50:00,135.07562,33.46182
11,2025-09-07 16:00:00,135.07585,33.46039
11,2025-09-07 16:10:00,135.07715,33.459038
11,2025-09-07 16:20:00,135.0795,33.456078
11,2025-09-07 16:30:00,135.0817,33.453175
12,2025-09-07 10:30:00,135.0,33.5
12,2025-09-07 10:40:00,135.00456,33.50022
12,2025-09-07 10:50:00,135.009,33.5002
12,2025-09-07 11:00:00,135.01286,33.500217
12,2025-09-07 11:10:00,135.01643,33.502163
12,2025-09-07 11:20:00,135.02023,33.499413
12,2025-09-07 11:30:00,135.0254,33.499454
12,2025-09-07 11:40:00,135.02939,33.499622
12,2025-09-07 11:50:00,135.03294,33.498207
12,2025-09-07 12:00:00,135.03853,33.49814
12,2025-09-07 12:10:00,135.04062,33.498394
12,2025-09-07 12:20:00,135.0447,33.496708
12,2025-09-07 12:30:00,135.04643,33.498257
12,2025-09-07 12:40:00,135.04898,33.499077
12,2025-09-07 12:50:00,135.05054,33.49781
12,2025-09-07 13:00:00,135.05566,33.496006
12,2025-09-07 13:10:00,135.05937,33.494724
12,2025-09-07 13:20:00,135.06348,33.492867
12,2025-09-07 13:30:00,135.06708,33.492573
12,2025-09-07 13:40:00,135.0699,33.492035
12,2025-09-07 13:50:00,135.07239,33.491047
12,2025-09-07 14:00:00,135.07437,33.491417
12,2025-09-07 14:10:00,135.07727,33.48997
12,2025-09-07 14:20:00,135.07875,33.48907
12,2025-09-07 14:30:00,135.08008,33.486813
12,2025-09-07 14:40:00,135.08278,33.48539
12,2025-09-07 14:50:00,135.08731,33.483387
12,2025-09-07 15:00:00,135.08977,33.48342
12,2025-09-07 15:10:00,135.09254,33.479694
12,2025-09-07 15:20:00,135.09496,33.478405
12,2025-09-07 15:30:00,135.09639,33.474586
